#r (n=300)	P_U			P_H
0.06		0.000940 ¡À0.000966	0.002572 ¡À0.001145
0.07		0.001254 ¡À0.001347	0.003272 ¡À0.001684
0.08		0.001508 ¡À0.001715	0.004152 ¡À0.002046
0.09		0.001613 ¡À0.001791	0.005264 ¡À0.002631
0.10		0.001715 ¡À0.002101	0.006191 ¡À0.003248
0.11		0.001796 ¡À0.002050	0.007132 ¡À0.003961
0.12		0.001800 ¡À0.002328	0.007981 ¡À0.004598
0.13		0.001705 ¡À0.002046	0.010185 ¡À0.005440
0.14		0.001754 ¡À0.002143	0.011575 ¡À0.006793
0.15		0.002086 ¡À0.002545	0.012721 ¡À0.007375
0.16		0.001908 ¡À0.002036	0.013885 ¡À0.008371
0.17		0.001711 ¡À0.002413	0.015747 ¡À0.009980
0.18		0.001991 ¡À0.002918	0.017382 ¡À0.010935
0.19		0.001644 ¡À0.002356	0.018536 ¡À0.012349
0.20		0.001980 ¡À0.002044	0.020072 ¡À0.013221
#r (n=400)	P_U			P_H
0.05		0.000750 ¡À0.000729	0.001842 ¡À0.000773
0.06            0.000829 ¡À0.000949     0.002535 ¡À0.001094
0.07            0.001026 ¡À0.001101     0.003183 ¡À0.001653
0.08            0.001325 ¡À0.001510     0.004235 ¡À0.002116
0.09            0.001211 ¡À0.001393     0.004802 ¡À0.002627
0.10            0.001208 ¡À0.001461     0.005888 ¡À0.003327
0.11            0.001314 ¡À0.001628     0.006839 ¡À0.004054
0.12            0.001319 ¡À0.001506     0.007326 ¡À0.004611
0.13            0.001272 ¡À0.001345     0.009616 ¡À0.005362
0.14            0.001529 ¡À0.001628     0.011630 ¡À0.006463
0.15            0.001580 ¡À0.001947     0.012882 ¡À0.007803
0.16            0.001533 ¡À0.001812     0.014522 ¡À0.008797
0.17            0.001387 ¡À0.001928     0.015200 ¡À0.010220
0.18            0.001460 ¡À0.001853     0.016530 ¡À0.011266
0.19            0.001504 ¡À0.001706     0.017562 ¡À0.011571
#r (n=500)	P_U			P_H
0.04		0.000527 ¡À0.000525	0.001158 ¡À0.000513
0.05		0.000700 ¡À0.000691	0.001753 ¡À0.000746
0.06            0.000719 ¡À0.000813     0.002379 ¡À0.001123
0.07            0.000869 ¡À0.000966     0.003115 ¡À0.001608
0.08            0.001090 ¡À0.001179     0.004085 ¡À0.002159
0.09            0.001128 ¡À0.001430     0.004890 ¡À0.002594
0.10            0.001157 ¡À0.001534     0.005525 ¡À0.003424
0.11            0.001008 ¡À0.001284     0.006702 ¡À0.004187
0.12            0.001104 ¡À0.001304     0.007741 ¡À0.004890
0.13            0.001268 ¡À0.001509     0.009058 ¡À0.005931
0.14            0.001196 ¡À0.001397     0.009826 ¡À0.006692
0.15            0.001215 ¡À0.001395     0.010707 ¡À0.007451
0.16            0.001271 ¡À0.001581     0.012685 ¡À0.008172
0.17            0.001243 ¡À0.001658     0.014173 ¡À0.009063
0.18		0.001329 ¡À0.001609	0.015519 ¡À0.010460
#r (n=600)	P_U			P_H
0.03		0.000324 ¡À0.000285	0.000651 ¡À0.000276 
0.04            0.000488 ¡À0.000472     0.001127 ¡À0.000515 
0.05            0.000668 ¡À0.000728     0.001679 ¡À0.000791 
0.06            0.000721 ¡À0.000788     0.002407 ¡À0.001175 
0.07            0.000864 ¡À0.000946     0.003134 ¡À0.001639 
0.08            0.000910 ¡À0.001048     0.003882 ¡À0.002221 
0.09            0.000869 ¡À0.001041     0.004604 ¡À0.002720 
0.10            0.000821 ¡À0.001027     0.005468 ¡À0.003107 
0.11            0.000919 ¡À0.000987     0.006760 ¡À0.003846 
0.12            0.001108 ¡À0.001247     0.007733 ¡À0.004653 
0.13            0.000879 ¡À0.000973     0.009537 ¡À0.005512 
0.14            0.001086 ¡À0.001266     0.011051 ¡À0.007160 
0.15            0.001053 ¡À0.001277     0.012078 ¡À0.007886 
0.16            0.000950 ¡À0.001187     0.013313 ¡À0.008724 
0.17            0.000974 ¡À0.001270     0.014259 ¡À0.010037 
#r (n=700)	P_U			P_H
0.02            0.000166 ¡À0.000154	0.000296 ¡À0.000122
0.03            0.000326 ¡À0.000283     0.000642 ¡À0.000284
0.04            0.000469 ¡À0.000509     0.001016 ¡À0.000536
0.05            0.000511 ¡À0.000627     0.001691 ¡À0.000792
0.06            0.000597 ¡À0.000694     0.002227 ¡À0.001172
0.07            0.000773 ¡À0.000901     0.003029 ¡À0.001604
0.08            0.000708 ¡À0.000849     0.003904 ¡À0.002044
0.09            0.000858 ¡À0.000997     0.004545 ¡À0.002742
0.10            0.000897 ¡À0.001168     0.005271 ¡À0.003396
0.11            0.000773 ¡À0.000903     0.006713 ¡À0.004002
0.12            0.000897 ¡À0.001100     0.007706 ¡À0.004868
0.13            0.000817 ¡À0.001181     0.009041 ¡À0.005688
0.14            0.000847 ¡À0.000899     0.010359 ¡À0.006752
0.15            0.000837 ¡À0.001044     0.011009 ¡À0.007319
0.16            0.000858 ¡À0.001180     0.013033 ¡À0.008561

vim:ts=8:sw=8:
